State,Best Action,Value
"(0, 3)",MOVE_UP,-0.5960283248423128
"(0, 2)",MOVE_RIGHT,-0.5053731021070518
"(0, 1)",MOVE_DOWN,-0.572683072739764
"(1, 2)",MOVE_RIGHT,-0.5005081104281199
"(2, 2)",MOVE_DOWN,-0.448642096821182
"(2, 3)",MOVE_DOWN,-0.431651171995572
"(2, 4)",MOVE_LEFT,-0.41774421454927
"(2, 1)",MOVE_DOWN,-0.4858962218798436
"(2, 0)",MOVE_DOWN,-0.5103705889705502
"(3, 0)",MOVE_LEFT,-0.5355998398373139
"(4, 0)",MOVE_LEFT,-0.5549822778260446
"(4, 1)",MOVE_UP,-0.6246729870156478
"(5, 0)",MOVE_LEFT,-0.5597907858642897
"(6, 0)",MOVE_DOWN,-0.540188330966489
"(6, 1)",MOVE_RIGHT,-0.5197457025153008
"(7, 0)",MOVE_DOWN,-0.5768005329163564
"(7, 1)",MOVE_DOWN,-0.44650127384308846
"(7, 2)",MOVE_DOWN,-0.39809119478981614
"(7, 3)",MOVE_LEFT,-0.34131784611251886
"(7, 4)",MOVE_LEFT,-0.41290091187665223
"(6, 4)",MOVE_UP,-0.3807908573451809
"(6, 3)",MOVE_LEFT,-0.21624639876939292
"(1, 4)",MOVE_DOWN,-0.3970735792468949
"(1, 5)",MOVE_LEFT,-0.37690194147644634
"(2, 5)",MOVE_LEFT,-0.4365848840247534
"(0, 5)",MOVE_DOWN,-0.3724432157201577
"(0, 6)",MOVE_DOWN,-0.2879068072805431
"(0, 7)",MOVE_RIGHT,-0.15845675131804915
"(1, 7)",MOVE_RIGHT,0.11848605073181859
"(2, 7)",MOVE_RIGHT,0.5752965940144426
"(3, 7)",MOVE_RIGHT,1.1623475682071074
"(4, 7)",MOVE_UP,1.8745251083450671
"(3, 6)",MOVE_RIGHT,0.9643124552554977
"(4, 6)",MOVE_RIGHT,2.6946385155569588
"(5, 6)",MOVE_RIGHT,3.751893600415506
"(4, 5)",MOVE_DOWN,1.7968105029788355
"(6, 6)",MOVE_RIGHT,5.144417819040207
"(7, 6)",MOVE_DOWN,6.999979047912527
"(6, 7)",MOVE_RIGHT,4.1328000000000005
"(0, 0)",MOVE_DOWN,-0.6710430623466062
"(4, 4)",MOVE_DOWN,1.0629261578576008
"(4, 3)",MOVE_DOWN,0.4504899827414729
"(5, 3)",MOVE_LEFT,0.01903950264359211
"(5, 2)",MOVE_DOWN,-0.4324501243275321
